Acres_Burned,Cal_Fire_Incident,Latitude,Longitude,Unique_ID,Month,Year
612.0,True,37.3433,-119.6581,58e7e466-8807-404e-9ef6-5a6ae11a0084,8,2014
600.0,False,33.1109,-117.279,cc18296d-573a-4737-8e4e-1221d75d1e7b,5,2014
580.0,True,40.7412,-122.946,3b954901-aa80-4894-b330-c287d47b68be,8,2014
516.0,True,41.42384,-122.37432,ad164a35-8b27-4f96-b78e-952b08a333e8,9,2014
487.0,True,37.76617,-120.45087,1a0bbf7e-7f9b-4359-9c91-85dec2e2869a,6,2014
459.0,True,0.0,0.0,d71ab3e8-ead1-4d54-b489-2a2f23073d8b,10,2014
403.0,True,0.0,0.0,60b1ae62-1688-44b3-8447-66785e692e92,9,2014
400.0,True,36.6313,-121.4819,cb580f06-5d43-46aa-8b2c-f2b5a21eff02,3,2014
389.0,True,0.0,0.0,69b38608-fab1-4df5-b9e9-0fd28bc505ba,7,2014
380.0,True,33.312,-117.162,ebea3cc2-c0ad-4de2-829a-0b544183461b,5,2014
350.0,True,0.0,0.0,af1dd364-be2a-4818-81fb-dea0e527d6c5,3,2014
333.0,True,40.884415,-123.773779,6d75c6a4-12cb-4f18-8951-f2737e980916,1,2014
320.0,True,37.311915,-119.604124,614efdbb-937e-47a0-9ffd-919e5e0de436,9,2014
311.0,False,37.0,40.34,ba17d495-8ce6-4a0f-a3ba-487bd877969e,10,2014
300.0,True,0.0,0.0,987ced78-a554-4a1b-a2f2-2f8329292067,9,2014
300.0,True,0.0,0.0,deb3922d-eba2-4f08-abf7-d453d14e32ab,7,2014
274.0,False,34.267,-117.867,d805c9b9-da39-4771-965f-b3cd4c37c84b,8,2014
269.0,True,37.787,-120.452,b5d32131-cf00-4e34-9e08-b74d68a3174f,6,2014
247.0,True,39.113682,-120.999508,a794ecf9-2e8d-4721-a272-a3e66d2e7621,9,2014
225.0,True,40.009827,-122.345078,724209e0-12b0-4d49-b798-8ccacf95e668,6,2014
217.0,True,33.078948,-116.576454,d2623c2c-ff3d-419e-a129-b3aa542c05c4,7,2014
210.0,False,41.134,-123.753,d4523b72-45cf-4de2-8ccf-3905f1dc8dbd,9,2014
190.0,False,34.235,-117.771,accb599e-35b8-4d5e-8d13-d0e4b0e4a1eb,8,2014
175.0,True,39.1647,-122.5983,b454456c-1fa9-4766-b179-6df36b4d844b,5,2014
143.0,True,40.6569,-122.2215,dcbc7afb-cdef-49a3-822e-20bbaa86a5d0,7,2014
130.0,True,37.7103,-120.197,50567f4a-c56d-4d73-9855-f5d81fa74025,6,2014
125.0,True,0.0,0.0,7a5c1b23-ac7c-44de-8f1a-1866ea9bf617,6,2014
125.0,False,32.81,-116.49,a67fe9bc-b8ec-4ed1-a2e8-06623aab7039,3,2014
120.0,True,120.679019,38.178241,2b382ade-87e2-4cff-92f7-67328139d7eb,6,2014
120.0,True,0.0,0.0,072e04ed-1f34-45e8-b7c2-3788ebf3be4c,1,2014
113.0,True,37.399,-118.352,1faad916-32b9-4cd0-94b8-dacfe71fa9f8,4,2014
106.0,True,36.8266,-119.3415,d529636e-33d0-484b-9c6f-093ba33736b7,1,2014
105.0,False,0.0,0.0,811b6ea7-2a1b-414b-90fa-9edc6db21d46,5,2014
101.0,True,41.507,-121.266,91669a3c-d533-4eaa-a8d7-505d55f89e46,8,2014
100.0,True,0.0,0.0,cd91c23b-9e4f-484f-bb5a-09881545da38,9,2014
100.0,True,0.0,0.0,58054798-7e26-4aa0-8af9-a4c91ebcca8b,9,2014
94.0,False,38.59,-120.028,7e60b4f7-8497-4155-9879-a3198b2ce696,9,2014
90.0,True,0.0,0.0,a856545c-5922-4d6a-bffb-2048188c0fa3,6,2014
85.0,True,38.058,-120.66,06ae83a9-125e-4cf5-826e-8b541b2308fd,6,2014
84.0,True,39.3918,-120.0805,605ac5e1-9903-45ba-872d-3d9c437457d7,8,2014
80.0,True,0.0,0.0,f2d201e0-515b-4df7-96f4-0ff840da4ed3,8,2014
80.0,True,37.5359,-121.5118,dc1a83b0-500c-440f-85d7-7090884f5487,7,2014
79.0,False,0.0,0.0,eb9797e5-4caa-4514-8098-6bd120c0e3c6,9,2014
78.0,True,0.0,0.0,7ac5c3c7-ba1d-47c4-8678-727729c51465,7,2014
75.0,True,40.5719,-121.3415,0bc42201-27c2-4b3d-a329-ce44bc1261d9,7,2014
75.0,True,36.103,-121.117,91c3081d-33b4-46f2-8774-032c57f0f6a2,4,2014
72.0,True,39.4664,-121.6129,9c21bb74-e919-403c-8a43-05f561669e4e,7,2014
70.0,True,37.8316,-120.3434,726710bb-32d4-46bf-9729-7f3396defcf0,9,2014
70.0,False,0.0,0.0,9487beeb-6c40-46fc-b4b3-a353a688a826,7,2014
70.0,True,121.999,38.453,45cf54ae-c166-4f81-816f-2e0ef959a56e,6,2014
65.0,False,0.0,0.0,5463296a-0cfa-46a1-bd8a-dfbf1afc996b,9,2014
62.0,True,0.0,0.0,a44b9e07-680d-4857-9d27-834363373a83,9,2014
60.0,True,0.0,0.0,42af9060-4b93-4919-bd89-9fe684b41fd3,1,2014
57.0,True,33.5982,-116.1985,edff6f87-80b8-4c0d-8f6a-45c6e798b7fa,3,2014
56.0,True,0.0,0.0,36076476-0b5d-445a-a82b-27f953f3dde1,5,2014
50.0,True,40.39,-122.721,2c241790-d062-4b15-9a25-8e511c0febab,5,2014
48.0,True,33.93869,-117.70643,f5552e75-f74c-4bc0-99b8-6c66ee8cde3d,10,2014
47.0,True,35.8218,-121.0226,1df51ee3-c15a-4266-bf3d-d52272189cff,7,2014
40.0,True,36.991825,-119.525506,857e832f-17bd-4ad2-8789-99b003187049,6,2014
38.0,True,39.1871,-121.2687,61506ea2-3f16-4aa6-ba54-d7788c3a2b35,7,2014
37.0,True,0.0,0.0,0567f7bd-c345-4124-9526-b8f88a938b01,8,2014
37.0,True,0.0,0.0,4075bfa7-794b-446c-b30d-0a8d38085419,5,2014
31.0,True,0.0,0.0,fc0e054f-887f-4bb5-87af-bde461bf4e4a,6,2014
30.0,True,0.0,0.0,279d9058-7545-488b-8a83-51b12e60cb47,7,2014
30.0,True,38.608336,-120.703238,da607cd1-32fc-44c0-bd7a-ba14ad0a14cc,7,2014
29.0,True,32.665,-116.222,d5cb2477-6627-4ef6-bab1-d0eecc4ad12a,5,2014
27.0,True,38.695961,-122.384054,7e564dd5-1d4e-4999-8aea-93691ad314ac,9,2014
25.0,True,0.0,0.0,6e986794-095c-4ba4-a129-cc45ab69d4ec,9,2014
25.0,True,40.0,29.24,952443ab-3af0-431d-9040-c73a45925401,8,2014
25.0,True,36.742747,-119.241493,ccc2ec2b-4941-4bbd-ae60-be6706d97f13,6,2014
20.0,False,38.9195001,-120.1140659,0b2d503c-7bd5-45e7-b029-61306ae6e7c0,9,2014
20.0,True,32.59154,-116.89516,64812487-ac4c-40da-b069-2884d7a04675,8,2014
18.0,True,0.0,0.0,4f7bb6c9-8b10-4892-89a8-d2b78931aa10,1,2014
15.0,False,40.41,-123.24,62c2a563-1768-4c94-ac71-694a553cfdf8,7,2014
14.0,True,0.0,0.0,e22ad5eb-2085-4a09-887f-fc54756527ce,7,2014
14.0,True,0.0,0.0,43bd24a5-fe63-4a1f-bb61-75d201f2c829,6,2014
10.0,True,37.0,18.4,a2da7754-e907-48f2-a023-0a3053cf2903,8,2014
6.0,True,0.0,0.0,9617f422-bb7b-41ae-8ad6-670ffff875ab,8,2014
0.0,False,41.796,-123.374,da500577-e558-4446-832f-0e537cc55204,8,2014
151623.0,False,36.874,-118.905,8c788c0a-d1fc-46d7-a17c-23f786831f7d,7,2015
77081.0,False,0.0,0.0,7c83452f-e6f0-47af-aa25-1d0fff3a594f,7,2015
69438.0,True,38.8863538,-122.4762475,23e85238-2966-452c-8f21-fa93a51e889b,7,2015
36503.0,False,0.0,0.0,33e56fb3-20fc-47a5-810c-6fccef8400be,7,2015
31359.0,True,34.160277777778,-116.89277777778,17616590-ce26-4c73-bf81-70d338d027ce,6,2015
30361.0,False,0.0,0.0,450e1ea6-2ed7-4df2-b533-698b0c86dd40,7,2015
29416.0,False,0.0,0.0,7243645e-960d-4422-a281-cc6b42ca8938,7,2015
